Date,Open,High,Low,Close,Volume,Market Capacity
2018-03-20,1.5,1.52,1.4,1.49,72994304.0,0.0
2018-03-19,1.37,1.49,1.34,1.49,70440000.0,0.0
2018-03-18,1.42,1.42,1.23,1.38,78305400.0,0.0
2018-03-17,1.51,1.52,1.4,1.42,56058500.0,0.0
2018-03-16,1.49,1.57,1.43,1.51,68990200.0,0.0
2018-03-15,1.48,1.53,1.37,1.49,78494896.0,0.0
2018-03-14,1.65,1.68,1.46,1.48,78271600.0,0.0
2018-03-13,1.67,1.68,1.59,1.65,64170000.0,0.0
2018-03-12,1.74,1.82,1.59,1.68,121950000.0,0.0
2018-03-11,1.57,1.77,1.52,1.73,55022100.0,0.0
2018-03-10,1.67,1.71,1.56,1.57,54957600.0,0.0
2018-03-09,1.61,1.67,1.41,1.66,107130000.0,0.0
2018-03-08,1.8,1.88,1.6,1.61,161630000.0,0.0
2018-03-07,2.1,2.14,1.78,1.81,130963000.0,0.0
2018-03-06,2.26,2.26,2.07,2.1,132400000.0,0.0
2018-03-05,2.17,2.3,2.17,2.26,131375000.0,0.0
2018-03-04,2.21,2.21,2.14,2.17,109646000.0,0.0
2018-03-03,2.17,2.21,2.14,2.2,104451000.0,0.0
2018-03-02,2.3,2.35,2.09,2.17,151136000.0,0.0
2018-03-01,2.17,2.32,2.13,2.3,146083008.0,0.0
2018-02-28,2.59,2.61,2.17,2.17,221380992.0,0.0
2018-02-27,2.31,2.65,2.3,2.59,222914000.0,0.0
2018-02-26,2.24,2.33,2.17,2.31,121620000.0,0.0
2018-02-25,2.27,2.33,2.17,2.24,125886000.0,0.0
2018-02-24,2.3,2.4,2.2,2.27,163304992.0,0.0
2018-02-23,2.16,2.32,2.05,2.3,168072000.0,0.0
2018-02-22,2.36,2.48,2.14,2.17,166988000.0,0.0
2018-02-21,2.43,2.48,2.31,2.36,146902000.0,0.0
2018-02-20,2.5,2.67,2.42,2.43,156439008.0,0.0
2018-02-19,2.34,2.58,2.34,2.51,137335008.0,0.0
2018-02-18,2.57,2.57,2.32,2.35,141112992.0,0.0
2018-02-17,2.49,2.62,2.44,2.56,158970000.0,0.0
2018-02-16,2.36,2.53,2.26,2.49,177184992.0,0.0
2018-02-15,2.78,2.81,2.34,2.37,303590016.0,0.0
2018-02-14,2.19,2.83,2.05,2.83,308817984.0,0.0
2018-02-13,1.58,2.43,1.56,2.19,185762000.0,0.0
2018-02-12,1.54,1.59,1.54,1.57,113683000.0,0.0
2018-02-11,1.55,1.58,1.45,1.54,107127000.0,0.0
2018-02-10,1.58,1.59,1.48,1.55,125255000.0,0.0
2018-02-09,1.43,1.59,1.38,1.59,305078016.0,0.0
2018-02-08,1.28,1.49,1.28,1.43,140400992.0,0.0
2018-02-07,1.34,1.39,1.22,1.29,74229696.0,0.0
2018-02-06,1.21,1.35,1.13,1.35,130838000.0,0.0
2018-02-05,1.39,1.4,1.19,1.2,73913504.0,0.0
2018-02-04,1.43,1.52,1.34,1.4,88995400.0,0.0
2018-02-03,1.49,1.51,1.42,1.43,80901800.0,0.0
